"kreis","key","year","V","P","A","total_pop","bpcr","bpcr_L","pgr_log","lcr_log","lcrpgr_log","ln_density","urban_pop_share","ln_gdp","int_migr"
"Altenburger Land","altenburgerland",1995,4509163.38039216,65300.7737969434,40515298.8776425,120655,0.023082729913389,0.0170353312358442,-0.00278795339318974,0.0202947765201992,-7.27945329709392,7.38507951222279,0.541218961476469,2.3115448494882,-4.42000007629395
"Altenburger Land","altenburgerland",2000,4896448.09411765,62692.5159135251,40515298.8776425,114200,0.0246320478881316,0.023082729913389,-0.00815236179899087,0.0164796860891407,-2.02146157094998,7.34431770322783,0.548971242675351,2.46470396193322,-5.53399996757507
"Altenburger Land","altenburgerland",2005,4390984.7372549,53210.0745180536,33050920.0246094,106365,0.0110075560358112,0.0246320478881316,-0.032798865606899,-0.0217913095710877,0.664392172347086,7.38395362477544,0.500259244281988,2.59525467848898,-8.50799989700317
"Altenburger Land","altenburgerland",2010,4480772.29019608,49292.5478431242,32049536.1867188,98810,0.0193433481843364,0.0110075560358112,-0.0152949677610218,0.00404838042331462,-0.264687084443005,7.33824547752765,0.498861935463255,2.79789089580353,-8.39600009918213
"Altenburger Land","altenburgerland",2015,4360137.14117647,45322.6840090801,29045358.1496094,92344,0.0113346691673412,0.0193433481843364,-0.01679305046935,-0.00545838130200886,0.32503810501679,7.35270425466871,0.490802694371914,2.99373022501522,-3.18400001525879
"Altenburger Land","altenburgerland",2020,4326537.92941177,42421.5213983975,28044000.8449219,88356,0.0116832001642611,0.0113346691673412,-0.0132303688587844,-0.00154716869452331,0.116940707476652,7.32163635712255,0.480120437756322,3.13113689390213,-0.462000004947186
"Altenkirchen (Westerwald)","altenkirchen",1990,4596591.39607843,62189.0737245069,62707858.2990043,NA,0.0141787955995698,NA,0.00759931832242645,0.0217781139219962,2.86579835163985,6.89944782819541,NA,NA,NA
"Altenkirchen (Westerwald)","altenkirchen",1995,5408114.54901961,69357.4246044349,74723796.4923637,134993,0.010698322347572,0.0141787955995698,0.0218187760428662,0.0325170983904382,1.49032642007753,6.83322987770068,0.513785341495003,2.81780105138858,6.09000015258789
"Altenkirchen (Westerwald)","altenkirchen",2000,6088570.71764706,71927.1343556685,81573917.178776,137223,0.0164264916263891,0.010698322347572,0.00727607656031412,0.0237025681867032,3.25760291143499,6.7818992942628,0.524162380618909,2.89092717189646,2.73399996757507
"Altenkirchen (Westerwald)","altenkirchen",2005,6612406.58431373,70745.4713665027,81573926.006901,136425,0.0198198734627757,0.0164264916263891,-0.00331301164331622,0.0165068618194594,-4.98243398955777,6.76533412782383,0.518566768308614,2.93651293413114,0.840000007301568
"Altenkirchen (Westerwald)","altenkirchen",2010,7185017.4745098,69980.5779943396,82575250.1279948,131952,0.0187842121709619,0.0198198734627757,-0.00217415583867976,0.0166100563322821,-7.63977265878439,6.74226302493638,0.530348747986689,3.07083972127004,-2.73199996352196
"Altenkirchen (Westerwald)","altenkirchen",2015,7774143.4117647,70845.6362969218,85579302.100651,129171,0.0133039402161683,0.0187842121709619,0.00245712543692965,0.015761065653098,6.41443266030104,6.71881519647377,0.548463945443805,3.21084362240725,-0.54200005531311
"Altenkirchen (Westerwald)","altenkirchen",2020,7997231.83529412,71556.3048772552,84577958.0772135,129087,0.00366218684971078,0.0133039402161683,0.00199624941770018,0.00565843626741097,2.83453370968539,6.74056620974008,0.554326189912658,3.30652036826833,2.92599997520447
"Altmarkkreis Salzwedel","altmarksalzwedel",1990,2682075,31562.851287921,20035658.6132812,NA,0.01625900533344,NA,-0.00504931443935592,0.011209690894084,-2.22004215200231,7.36222249918623,NA,NA,NA
"Altmarkkreis Salzwedel","altmarksalzwedel",1995,2976291,31292.9292381997,21037462.7832031,105371,0.0225351627137826,0.01625900533344,-0.00171773355893772,0.0208174291548449,-12.1191258367909,7.30484265762943,0.296978573214639,2.42745406830612,0.389999985694885
"Altmarkkreis Salzwedel","altmarksalzwedel",2000,3352905,30904.7887753905,23041013.6035156,101134,0.0263260520890516,0.0225351627137826,-0.00249620412947035,0.0238298479595813,-9.54643399481817,7.2013905993599,0.305582581282165,2.63404480969952,-4.35399988889694
"Altmarkkreis Salzwedel","altmarksalzwedel",2005,3389544,28466.715899183,22039209.4335938,96040,0.0186087743330745,0.0263260520890516,-0.016435121368303,0.00217365296477155,-0.132256581260403,7.16366770656433,0.29640478862123,2.81060683992269,-6.93000001907349
"Altmarkkreis Salzwedel","altmarksalzwedel",2010,3418138,26278.4487325377,21037396.4257812,89512,0.0176773874937152,0.0186087743330745,-0.0159972756345001,0.00168011185921508,-0.105024874084917,7.13020280622327,0.293574590362607,2.93651293413114,-9.73600006103517
"Altmarkkreis Salzwedel","altmarksalzwedel",2015,3511993,24785.333082872,21037467.2070312,86164,0.0171169634797141,0.0176773874937152,-0.01169941863207,0.00541754484764414,-0.463061030468112,7.07170234852438,0.287652999894062,3.11573503211545,-1.87199999690056
"Altmarkkreis Salzwedel","altmarksalzwedel",2020,3577552,23353.9838389182,21037467.2070312,82687,0.0155959143302794,0.0171169634797141,-0.0118968973246309,0.00369901700564855,-0.31092283178659,7.01221786190123,0.282438398284109,3.25385677018864,-2.13400003910065
"Altötting","altoetting",1990,5578616.50588235,59686.9927258266,48402280.0902382,NA,0.00510411557998803,NA,0.00664314315808496,0.011747258738073,1.76832840396885,7.11732247643723,NA,NA,NA
"Altötting","altoetting",1995,6308127.3254902,64759.709577006,53406037.5511757,105914,0.00826570423980998,0.00510411557998803,0.0163139049648524,0.0245796092046624,1.50666620025176,7.10051512084578,0.611436727694224,3.1599747040004,11.3699998855591
